,year_month,id,count,industry
114,2019-09-01,999,395635.0,fhv_black_car
115,2019-09-01,999,653765.0,fhv_livery
116,2019-09-01,999,87788.0,fhv_lux_limo
117,2019-08-01,999,464500.0,fhv_black_car
118,2019-08-01,999,1331100.0,fhv_livery
119,2019-08-01,999,75304.0,fhv_lux_limo
120,2019-07-01,999,504434.0,fhv_black_car
121,2019-07-01,999,1355947.0,fhv_livery
122,2019-07-01,999,82854.0,fhv_lux_limo
123,2019-06-01,999,508789.0,fhv_black_car
124,2019-06-01,999,1416893.0,fhv_livery
125,2019-06-01,999,84146.0,fhv_lux_limo
126,2019-05-01,999,536024.0,fhv_black_car
127,2019-05-01,999,1440412.0,fhv_livery
128,2019-05-01,999,96558.0,fhv_lux_limo
129,2019-04-01,999,498251.0,fhv_black_car
130,2019-04-01,999,1359258.0,fhv_livery
131,2019-04-01,999,80116.0,fhv_lux_limo
132,2019-03-01,999,354791.0,fhv_black_car
133,2019-03-01,999,1056020.0,fhv_livery
134,2019-03-01,999,64743.0,fhv_lux_limo
135,2019-02-01,999,384794.0,fhv_black_car
136,2019-02-01,999,1251677.0,fhv_livery
137,2019-02-01,999,71123.0,fhv_lux_limo
138,2019-01-01,999,511845.0,fhv_black_car
139,2019-01-01,999,1361767.0,fhv_livery
140,2019-01-01,999,90595.0,fhv_lux_limo
141,2018-12-01,999,521135.0,fhv_black_car
142,2018-12-01,999,1548708.0,fhv_livery
143,2018-12-01,999,97394.0,fhv_lux_limo
144,2018-11-01,999,573068.0,fhv_black_car
145,2018-11-01,999,1465233.0,fhv_livery
146,2018-11-01,999,114161.0,fhv_lux_limo
147,2018-10-01,999,586112.0,fhv_black_car
148,2018-10-01,999,1497621.0,fhv_livery
149,2018-10-01,999,113260.0,fhv_lux_limo
150,2018-09-01,999,525197.0,fhv_black_car
151,2018-09-01,999,1544216.0,fhv_livery
152,2018-09-01,999,97730.0,fhv_lux_limo
153,2018-08-01,999,504224.0,fhv_black_car
154,2018-08-01,999,1617820.0,fhv_livery
155,2018-08-01,999,84988.0,fhv_lux_limo
156,2018-07-01,999,454963.0,fhv_black_car
157,2018-07-01,999,1497438.0,fhv_livery
158,2018-07-01,999,76478.0,fhv_lux_limo
159,2018-06-01,999,543573.0,fhv_black_car
160,2018-06-01,999,1713799.0,fhv_livery
161,2018-06-01,999,97558.0,fhv_lux_limo
162,2018-05-01,999,524456.0,fhv_black_car
