ID,Citywide,Core,Congestion_Zone,Sub_Midtown,Midtown,Non_Core,CBD,Airports
139,Yes,No,No,No,No,Yes,No,No
140,Yes,Yes,Yes,Yes,No,No,No,No
141,Yes,Yes,Yes,Yes,No,No,No,No
142,Yes,Yes,Yes,Yes,No,No,No,No
143,Yes,Yes,Yes,Yes,No,No,No,No
144,Yes,Yes,Yes,No,No,No,Yes,No
145,Yes,No,No,No,No,Yes,No,No
146,Yes,No,No,No,No,Yes,No,No
147,Yes,No,No,No,No,Yes,No,No
148,Yes,Yes,Yes,No,No,No,Yes,No
149,Yes,No,No,No,No,Yes,No,No
150,Yes,No,No,No,No,Yes,No,No
151,Yes,Yes,No,No,No,No,No,No
152,Yes,No,No,No,No,Yes,No,No
153,Yes,No,No,No,No,Yes,No,No
154,Yes,No,No,No,No,Yes,No,No
155,Yes,No,No,No,No,Yes,No,No
156,Yes,No,No,No,No,Yes,No,No
157,Yes,No,No,No,No,Yes,No,No
158,Yes,Yes,Yes,No,No,No,Yes,No
159,Yes,No,No,No,No,Yes,No,No
160,Yes,No,No,No,No,Yes,No,No
161,Yes,Yes,Yes,Yes,Yes,No,Yes,No
162,Yes,Yes,Yes,Yes,Yes,No,Yes,No
163,Yes,Yes,Yes,Yes,Yes,No,Yes,No
164,Yes,Yes,Yes,Yes,Yes,No,Yes,No
165,Yes,No,No,No,No,Yes,No,No
166,Yes,No,No,No,No,Yes,No,No
167,Yes,No,No,No,No,Yes,No,No
168,Yes,No,No,No,No,Yes,No,No
169,Yes,No,No,No,No,Yes,No,No
170,Yes,Yes,Yes,Yes,Yes,No,Yes,No
171,Yes,No,No,No,No,Yes,No,No
172,Yes,No,No,No,No,Yes,No,No
173,Yes,No,No,No,No,Yes,No,No
174,Yes,No,No,No,No,Yes,No,No
175,Yes,No,No,No,No,Yes,No,No
176,Yes,No,No,No,No,Yes,No,No
177,Yes,No,No,No,No,Yes,No,No
178,Yes,No,No,No,No,Yes,No,No
179,Yes,No,No,No,No,Yes,No,No
